"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 16 20:29:33 BDT 2023","Sun Jul 16 20:29:33 BDT 2023","2","Suite","OfferTest","com.WMC.login.LoginTest","com.WMC.login.LoginTest","login","login",""
"passed","Wed Mar 15 18:51:14 BDT 2023","Wed Mar 15 18:52:09 BDT 2023","54960","Suite","Test","com.WMC.testcasesProject.AddProject","com.WMC.testcasesProject.AddProject","goProjectPage","goProjectPage",""
"skipped","Sun Jul 16 20:29:33 BDT 2023","Sun Jul 16 20:29:33 BDT 2023","1","Suite","OfferTest","com.WMC.testcasesContractsOFFER.AddOffer","com.WMC.testcasesContractsOFFER.AddOffer","goContractsPage","goContractsPage",""
"broken","Wed Mar 22 17:45:35 BDT 2023","Wed Mar 22 17:45:55 BDT 2023","19471","Suite","Test","com.WMC.testcasesMonitor.AddMonitor","com.WMC.testcasesMonitor.AddMonitor","goMonitorPage","goMonitorPage",""
"skipped","Sun Jul 16 20:27:21 BDT 2023","Sun Jul 16 20:27:21 BDT 2023","1","Suite","ContractsAddTest","com.WMC.testcasesContracts.UpdateContracts","com.WMC.testcasesContracts.UpdateContracts","UpdateInvoices","UpdateInvoices",""
"broken","Wed Mar 15 18:52:42 BDT 2023","Wed Mar 15 18:52:46 BDT 2023","4168","Suite","Test","com.WMC.testcasesProject.DeleteProject","com.WMC.testcasesProject.DeleteProject","projectDelete","projectDelete",""
"broken","Sun Jul 16 20:29:33 BDT 2023","Sun Jul 16 20:29:33 BDT 2023","5","Suite","OfferTest","com.WMC.login.LoginTest","com.WMC.login.LoginTest","setUP","setUP",""
"broken","Sun Mar 26 15:28:10 BDT 2023","Sun Mar 26 15:28:37 BDT 2023","26803","Suite","Test","com.WMC.testcasesVacation.AddVacation","com.WMC.testcasesVacation.AddVacation","goVacationPage","goVacationPage",""
"skipped","Sun Jul 16 20:29:33 BDT 2023","Sun Jul 16 20:29:33 BDT 2023","1","Suite","OfferTest","com.WMC.testcasesContractsOFFER.UpdateOffer","com.WMC.testcasesContractsOFFER.UpdateOffer","UpdateInvoices","UpdateInvoices",""
"skipped","Sun Jul 16 20:27:21 BDT 2023","Sun Jul 16 20:27:21 BDT 2023","1","Suite","ContractsAddTest","com.WMC.testcasesContracts.AddContracts","com.WMC.testcasesContracts.AddContracts","goContractsPage","goContractsPage",""
"broken","Wed Mar 22 17:45:59 BDT 2023","Wed Mar 22 17:46:01 BDT 2023","2064","Suite","Test","com.WMC.testcasesMonitor.DeleteMonitor","com.WMC.testcasesMonitor.DeleteMonitor","monitorDelete","monitorDelete",""
"passed","Wed Mar 15 18:52:09 BDT 2023","Wed Mar 15 18:52:42 BDT 2023","32067","Suite","Test","com.WMC.testcasesProject.UpdateProject","com.WMC.testcasesProject.UpdateProject","projectUpdate","projectUpdate",""
"broken","Wed Mar 22 17:45:55 BDT 2023","Wed Mar 22 17:45:59 BDT 2023","4055","Suite","Test","com.WMC.testcasesMonitor.UpdateMonitor","com.WMC.testcasesMonitor.UpdateMonitor","monitorUpdated","monitorUpdated",""
